n,era5_mean,conus404_mean,bias,mae,rmse,pearson_r,pearson_pvalue,r_squared,nrmse,n_era5,n_conus404,mean_difference,era5_std,conus404_std,std_ratio,ks_statistic,ks_pvalue,p50_era5,p50_conus404,p50_difference,p50_percent_bias,p75_era5,p75_conus404,p75_difference,p75_percent_bias,p90_era5,p90_conus404,p90_difference,p90_percent_bias,p95_era5,p95_conus404,p95_difference,p95_percent_bias,p99_era5,p99_conus404,p99_difference,p99_percent_bias,year,season,variable,variable_name,units
91,280.987366,282.155090,1.167716,1.167716,1.276586,0.996117,0.000000,0.992250,0.329848,91,91,1.167725,3.870224,3.467860,0.896036,0.175824,0.120121,281.379639,282.532166,1.152527,0.409599,283.349854,284.319153,0.969299,0.342086,286.876740,287.145294,0.268555,0.093613,287.487183,287.873047,0.385864,0.134220,288.089935,288.357574,0.267639,0.092901,1981,Autumn,d2m,2m Dewpoint,K
90,956.421448,96724.054688,95767.625000,95767.625000,95768.109375,0.974470,0.000000,0.949591,25395.875000,90,90,95767.632812,3.771010,309.907684,82.181602,1.000000,0.000000,956.414062,96706.773438,95750.359375,10011.391602,958.377502,96912.632812,95954.257812,10012.157227,960.488525,97054.398438,96093.906250,10004.691406,962.404846,97201.625000,96239.218750,9999.868164,967.818176,97650.664062,96682.843750,9989.773438,1981,Winter,sp,Surface Pressure,hPa
92,954.716370,96612.812500,95658.085938,95658.085938,95658.546875,0.987220,0.000000,0.974603,28335.900391,92,92,95658.093750,3.375878,296.373352,87.791489,1.000000,0.000000,954.445923,96574.164062,95619.718750,10018.348633,956.857910,96766.296875,95809.437500,10012.922852,958.464661,96984.234375,96025.773438,10018.707031,961.010925,97189.414062,96228.406250,10013.248047,962.849426,97307.437500,96344.585938,10006.195312,1981,Spring,sp,Surface Pressure,hPa
92,955.621704,96633.585938,95677.968750,95677.968750,95678.187500,0.980510,0.000000,0.961400,42864.898438,92,92,95677.960938,2.232087,209.290573,93.764519,1.000000,0.000000,955.821045,96661.953125,95706.132812,10012.975586,956.900269,96753.078125,95796.179688,10011.093750,958.448364,96894.718750,95936.273438,10009.540039,958.838989,96925.851562,95967.015625,10008.668945,959.307922,96961.125000,96001.820312,10007.404297,1981,Summer,sp,Surface Pressure,hPa
91,955.919922,96654.023438,95698.132812,95698.132812,95698.429688,0.977717,0.000000,0.955931,33908.261719,91,91,95698.101562,2.822275,249.685776,88.469696,1.000000,0.000000,955.745483,96626.757812,95671.015625,10010.093750,957.148926,96773.265625,95816.117188,10010.576172,960.552673,96998.031250,96037.476562,9998.148438,961.989990,97175.593750,96213.601562,10001.517578,962.866821,97276.937500,96314.070312,10002.844727,1981,Autumn,sp,Surface Pressure,hPa
90,0.864004,0.480778,-0.383226,0.450280,0.530844,0.843247,0.000000,0.711066,0.789155,90,90,-0.383226,0.672674,0.502475,0.746982,0.333333,0.000079,0.932313,0.481665,-0.450648,-48.336552,1.335315,0.828801,-0.506515,-37.932201,1.661468,1.168561,-0.492907,-29.666941,1.770226,1.333473,-0.436753,-24.672148,2.078566,1.534623,-0.543942,-26.169121,1981,Winter,u10,10m U-Wind,m/s
92,0.682508,0.330826,-0.351682,0.384412,0.470285,0.888838,0.000000,0.790033,0.701410,92,92,-0.351682,0.670485,0.540304,0.805842,0.304348,0.000365,0.517527,0.215925,-0.301603,-58.277653,0.969416,0.682193,-0.287224,-29.628506,1.681636,1.118210,-0.563426,-33.504642,1.968451,1.376495,-0.591956,-30.072191,2.403648,1.578584,-0.825063,-34.325470,1981,Spring,u10,10m U-Wind,m/s
92,0.312275,-0.087548,-0.399823,0.412906,0.485401,0.927865,0.000000,0.860933,0.732971,92,92,-0.399823,0.662238,0.492948,0.744367,0.358696,0.000012,0.282354,-0.182870,-0.465223,-164.766159,0.783028,0.206154,-0.576873,-73.672150,1.000272,0.589443,-0.410829,-41.071732,1.346513,0.699257,-0.647255,-48.069008,2.144337,1.192889,-0.951448,-44.370277,1981,Summer,u10,10m U-Wind,m/s
91,0.268391,0.085915,-0.182476,0.328642,0.391329,0.914274,0.000000,0.835896,0.503911,91,91,-0.182476,0.776584,0.565536,0.728235,0.197802,0.056641,0.197145,0.073908,-0.123238,-62.511101,0.868500,0.512905,-0.355595,-40.943569,1.237614,0.804669,-0.432945,-34.982262,1.513784,0.939087,-0.574697,-37.964287,1.836210,1.336796,-0.499414,-27.198076,1981,Autumn,u10,10m U-Wind,m/s
90,-0.421010,-0.454715,-0.033705,0.488241,0.582340,0.566747,0.000000,0.321202,0.842113,90,90,-0.033705,0.691522,0.507594,0.734024,0.133333,0.402289,-0.485942,-0.460610,0.025332,5.212915,0.073701,-0.161420,-0.235121,-319.018799,0.456573,0.176946,-0.279627,-61.244778,0.845493,0.309022,-0.536471,-63.450714,1.042271,0.892686,-0.149584,-14.351760,1981,Winter,v10,10m V-Wind,m/s
